estimated_population_2019	death_rate
42892	0.3333
13518	0.1
37111	0.5
15457	0.4
31052	1
139788	0.3
30604	0.3636
79758	0.2308
117019	0.1552
96204	0.1304
13616	1
26651	0.2
16955	0.5
702298	0.1109
21429	0.5
18071	0.1667
16290	0.5
56250	0.25
25376	0.5
16088	0.25
62784	0.0312
32471	0.1667
392482	0.0762
63250	0.375
26474	0.5
56506	0.2
331774	0.0658
27091	0.087
6813	1
1645727	0.0689
47415	0.2
60930	0.0769
21298	0.0909
113230	0.1761
35907	0.1667
45865	0.1667
28534	1
10096	1
53022	0.1667
30521	0.25
18482	0.3333
138757	0.1538
9557071	0.0869
5630	1
19781	1
21187	1
11019	1
153078	0.1154
38742	0.3333
78222	0.0435
28791	0.2857
6423	1
5346	0.3333
864845	0.0343
3273227	0.0468
134996	0.1333
123027	0.0714
13970	0.0667
31367	0.3333
14202	1
43288	0.2
132002	0.1111
94859	0.1053
328454	0.0476
82620	0.0526
1933105	0.0392
100209	0.0588
258532	0.0227
33119	0.1538
6581	0.3333
10169	0.5
31984	0.2857
7013	1
569733	0.1287
13502	1
423666	0.0862
154936	0.125
88374	0.069
82881	0.0714
132157	0.087
11123	0.5
7449	0.5
12037	0.1429
3981	0.125
2641	0.1
5855	0.0769
10219	0.1667
323340	0.0455
21016	1
17094	0.5
111557	0.25
7257	0.3333
11433957	0.0616
132400	0.0323
30349	0.2
100374	0.1667
184412	0.0385
510906	0.0563
27446	0.2
37096	0.1
226525	0.0789
58937	0.0833
507548	0.0339
919596	0.1961
60517	0.25
28310	0.2667
240592	0.0388
133019	0.129
104768	0.0833
256672	0.1905
245071	0.0667
44468	0.3333
161207	0.1429
176103	0.0828
25538	0.1429
162485	0.0847
513584	0.0709
190631	0.0833
821128	0.0885
52257	0.05
43165	0.1667
306191	0.1071
150319	0.0833
131341	0.2353
60201	0.1364
150674	0.1842
6718903	0.0872
42205	0.0909
1084839	0.0952
472406	0.1053
104476	0.1176
18228	0.2
34309	0.4286
182594	0.0244
273012	0.0524
17264943	0.0895
58017	0.0571
13577	0.25
14529	0.5
35845	0.0667
34276	0.2143
8180	1
73497	0.1667
11179	1
5638	0.1
15491	0.125
7544	1
80792	0.0588
297378	0.0805
884122	0.0212
27602	0.125
261469	0.0345
102400	0.0426
43899	0.0833
8202	0.2
12279	1
10786	0.5
33287	1
3506853	0.0476
25215	1
128969	0.0625
529544	0.0319
55058	0.25
1777225	0.0346
15510	0.25
399213	0.0078
605761	0.0094
210305	0.0909
10065	0.5
120454	0.0556
346616	0.0417
16254	0.5
38461	0.5
25877	0.5
35070	0.0625
281519	0.05
24293	0.2
84014	0.0476
44161	0.0154
246748	0.0645
203275	0.0815
1483771	0.0313
236835	0.0244
17502	0.0909
3030	0.5
51715	0.3333
4569	1
66218	0.25
71554	0.2
11377239	0.0359
8513	0.2
13071	0.25
142295	0.0215
10979	0.1429
33450	0.0213
82989	0.0441
16684	1
74641	0.0161
215186	0.0336
500973	0.0149
69639	0.0455
69425	0.1
219536	0.0349
65312	0.0556
25086	0.25
590466	0.0173
16916	1
171797	0.0357
3976	0.25
32531	0.1429
21388	0.1667
17453	1
246586	0.0196
13410	0.0588
30374	0.0476
8676	0.5
105686	0.0444
21268	0.1429
7164788	0.0221
18705	0.25
37214	0.0714
239597	0.0588
25228	0.5
22364	0.3333
197016	0.0317
6357	0.2222
236072	0.0526
134236	0.0769
89824	0.0417
104386	0.2
142761	0.0323
90655	0.0588
36126	0.1429
122098	0.1154
274182	0.0538
62508	0.5
376818	0.0652
146497	0.0714
168668	0.1695
4191	1
101470	0.1235
76801	0.1
1204073	0.0465
84650	0.1176
47138	0.2
121532	0.1538
400927	0.0439
121862	0.2727
17896	1
249210	0.1097
35292	0.125
82238	0.2
423884	0.0662
46793	0.2857
15494	0.5
273726	0.1143
69385	0.1304
194276	0.0632
353187	0.1
175844	0.058
154489	0.0992
21220	1
29798	0.25
320459	0.044
1379182	0.0961
230851	0.0833
8159	1
11166	0.0714
251627	0.1667
101816	0.1429
175693	0.068
163901	0.0714
237700	0.1391
74773	0.1667
370821	0.1171
120858	0.1667
173939	0.1538
61252	0.2
77263	0.2353
233662	0.0323
124937	0.0714
44380	0.1667
30044	1
418962	0.1613
31444	1
28516	0.4
7260	0.5
103391	0.5
68432	0.2
306114	0.0345
78013	0.1875
21747	0.5
100179	0.1379
238882	0.0833
472912	0.0896
12908	0.25
19779	0.5
29564	0.2857
68885	0.5
445842	0.0917
151888	0.0417
56702	0.1
50498	0.0769
59772	0.3333
18524	0.25
60174	0.1429
698418	0.1013
113542	0.1579
19648	0.0455
109424	0.0667
46687	0.5
63407	0.5
68284	0.0556
168328	0.0909
27303	0.5
404142	0.1194
39719	1
117452	0.1176
49961	0.25
56150	0.3333
325073	0.1923
228743	0.1053
39516	0.5455
29707	0.3333
56322	0.2727
123393	0.0833
703293	0.0721
10799	1
206424	0.4118
17139	1
193475	0.1667
14788	0.5
57386	0.5
139447	0.0278
27557	1
718773	0.062
6929	1
433311	0.0861
838936	0.0649
161127	0.0517
251983	0.2143
460671	0.0941
721944	0.0495
